name;time_p;time_s;cpi_ratio;
/home/sofiane/AOC/tp-rendu/AOC/opt6/binaries/measure;83.09;13.81;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;16.91;2.81;;
