name;time_p;time_s;cpi_ratio;
/home/sofiane/AOC/tp-rendu/AOC/opt3/binaries/measure;57.82;0.18;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;42.18;0.13;;
