loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
8;measure;kernel;7;kernel.c:59-63;Innermost;47.86;7.98;7.98;7.98;7.98;0;0;1;;
7;measure;kernel;7;kernel.c:56-59;Outermost;0.03;0;0;0;0;0;0;1;;
