Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0;751;0;0;0;0;0;3.75;0;0;
merry;_ALL;_ALL;0;100;0;751;0;0;0;0;0;3.75;0;0;
merry;18369;_ALL;0;100;0;751;0;0;0;0;0;3.75;0;0;
merry;18369;18369;0;100;0;751;0;0;0;0;0;3.75;0;0;
