loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
8;measure;kernel;7;kernel.c:41-45;Innermost;51.28;1.3;;;;;;;;
7;measure;kernel;7;kernel.c:38-41;Outermost;0.39;0.01;;;;;;;;
