ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 8;measure;kernel.c:59-63;kernel;Innermost;7.98;7.98;47.86;1.00;1.75;5.40;1.04;3;19.58;21.66;3.11;3.11;1.78;0.58;3.00
Loop 7;measure;kernel.c:56-59;kernel;Outermost;0;0;0.03;1.00;1.00;8.00;1.00;3;0.00;12.50;1.00;1.00;1.00;0.13;1.00
