Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0;626;0;0;0;0;0;3.13;0;0;
merry;_ALL;_ALL;0;100;0;626;0;0;0;0;0;3.13;0;0;
merry;23543;_ALL;0;100;0;626;0;0;0;0;0;3.13;0;0;
merry;23543;23543;0;100;0;626;0;0;0;0;0;3.13;0;0;
