group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
8;LLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,24,32,40,48,56,;0x13f8,0x13fb,0x13ff,0x1403,0x1407,0x140b,0x140f,0x1413,;Success;64;Success;64;64;0;64;64;8;
1;L;VMOVSS,;8,;0x141d,;Not found;0;Success;4;4;0;4;0;1;
1;L;VMOVSS,;8,;0x1429,;Not found;0;Success;4;4;0;4;0;1;
1;L;VMOVSS,;8,;0x143f,;Not found;0;Success;4;4;0;4;0;1;
1;L;VMOVSS,;8,;0x1435,;Not found;0;Success;4;4;0;4;0;1;
1;L;VMOVSS,;8,;0x1417,;Not found;0;Success;4;4;0;4;0;1;
1;L;VMOVSS,;8,;0x1423,;Not found;0;Success;4;4;0;4;0;1;
1;L;VMOVSS,;8,;0x1430,;Not found;0;Success;4;4;0;4;0;1;
1;L;VMOVSS,;8,;0x143a,;Not found;0;Success;4;4;0;4;0;1;
