group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOVSS,;0,;0x2182,;Not mono block loop;0;Success;4;4;0;4;0;1;
1;S;MOVSD,;-8,;0x21ec,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOVSS,;0,;0x2197,;Not mono block loop;0;Success;4;4;0;4;0;1;
2;LS;MOVSD,MOVSD,;0,0,;0x218f,0x2171,;Not mono block loop;0;Success;16;8;8;8;0;1;
3;LLL;MOVSS,MULSS,ADDSS,;0,4,4,;0x2193,0x2154,0x21a3,;Not mono block loop;0;Success;12;8;4;8;0;1;
