ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 10;opt2.o;opt2.c:161-171;load_positions;Innermost;0.14999997615814;0.14999997615814;1.0471247434616;5.33;1.00;5.63;21.33;1;0.00;21.38;21.33;4.00;21.33;3.79;1.00
Loop 6;opt2.o;opt2.c:226-228;main;Innermost;0.084999993443489;0.08500000089407;0.59337073564529;1.04;1.00;8.00;1.04;1;0.00;15.63;8.33;8.00;8.33;1.04;8.00
Loop 9;opt2.o;opt2.c:111-114,opt2.c:121-122,opt2.c:128-133;load_values;Single;0.069999985396862;0.069999985396862;0.48865818977356;3.93;1.00;6.27;3.93;1;9.09;21.02;9.83;2.50;9.83;1.57;2.50
Loop 5;opt2.o;opt2.c:210-212;main;Innermost;0.064999990165234;0.064999990165234;0.45375403761864;1.04;1.00;8.00;1.04;1;0.00;15.63;8.33;8.00;8.33;1.04;8.00
Loop 3;opt2.o;opt2.c:244-246;main;Innermost;0.00999999884516;0.00999999884516;0.069808319211006;1.00;1.00;4.00;12.33;1;0.00;25.00;12.33;12.33;12.33;3.08;1.00
Loop 8;opt2.o;opt2.c:59-63,stdio2.h:105-105;generate_random_values;Innermost;0.00999999884516;0.00999999884516;0.069808319211006;2.92;2.31;8.00;5.83;1;8.00;17.50;11.67;4.00;5.05;1.46;2.00
Loop 1;opt2.o;opt2.c:262-264;main;Innermost;0.00999999884516;0.00999999884516;0.069808319211006;1.00;1.00;4.00;12.33;1;0.00;25.00;12.33;12.33;12.33;3.08;1.00
