function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
9;opt1.o;cmp_pv_entries_v2;opt1.c:192-202;26.838104248047;14.310000419617;14.309999465942;14.309999465942;14.309999465942;0;0;26.838104248047;14.310000419617;14.309999465942;14.309999465942;14.309999465942;0;0;1;"100,0,0,0,0,0,0,0,0,0";cmp_pv_entries_v2;;
8;opt1.o;cmp_pv_entries_v1;opt1.c:178-188;17.638877868652;9.4049997329712;9.4049997329712;9.4049997329712;9.4049997329712;0;0;17.638877868652;9.4049997329712;9.4049997329712;9.4049997329712;9.4049997329712;0;0;1;"100,0,0,0,0,0,0,0,0,0";cmp_pv_entries_v1;;
776;libc.so.6;timer_settime;;12.884539604187;6.8699998855591;6.8700003623962;6.8700003623962;6.8700003623962;0;0;12.884539604187;6.8699998855591;6.8700003623962;6.8700003623962;6.8700003623962;0;0;1;"0,0,0,0,100,0,0,0,0,0";timer_settime;;
209;libc.so.6;bsearch;;8.9179029464722;4.7550005912781;4.7550001144409;4.7550001144409;4.7550001144409;0;0;8.9179029464722;4.7550005912781;4.7550001144409;4.7550001144409;4.7550001144409;0;0;1;"0,0,0,0,0,0,0,0,0,100";bsearch;;
281;libc.so.6;strtof64x;;8.5052995681763;4.5350017547607;4.5350017547607;4.5350017547607;4.5350017547607;0;0;8.5052995681763;4.5350017547607;4.5350017547607;4.5350017547607;4.5350017547607;0;0;1;"0,0,0,0,0,0,0,100,0,0";strtof64x;;
355;libc.so.6;psiginfo;;8.411524772644;4.4850010871887;4.4850010871887;4.4850010871887;4.4850010871887;0;0;8.411524772644;4.4850010871887;4.4850010871887;4.4850010871887;4.4850010871887;0;0;1;"0,0,0,0,100,0,0,0,0,0";psiginfo;;
779;libc.so.6;__libc_free;;6.029664516449;3.2149999141693;3.2150001525879;3.2150001525879;3.2150001525879;0;0;6.029664516449;3.2149999141693;3.2150001525879;3.2150001525879;3.2150001525879;0;0;1;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
2239;libc.so.6;__nss_database_lookup;;2.8225951194763;1.504999756813;1.504999756813;1.504999756813;1.504999756813;0;0;2.8225951194763;1.504999756813;1.504999756813;1.504999756813;1.504999756813;0;0;1;"0,0,0,0,0,0,0,0,0,100";__nss_database_lookup;;
777;libc.so.6;__default_morecore;;2.4474985599518;1.3049993515015;1.3049993515015;1.3049993515015;1.3049993515015;0;0;2.4474985599518;1.3049993515015;1.3049993515015;1.3049993515015;1.3049993515015;0;0;1;"0,0,0,0,100,0,0,0,0,0";__default_morecore;;
303;libc.so.6;swapcontext;;2.0724039077759;1.1049998998642;1.1049998998642;1.1049998998642;1.1049998998642;0;0;2.0724039077759;1.1049998998642;1.1049998998642;1.1049998998642;1.1049998998642;0;0;1;"0,0,0,0,100,0,0,0,0,0";swapcontext;;
312;libc.so.6;vprintf;;1.6504207849503;0.8799996972084;0.87999963760376;0.87999963760376;0.87999963760376;0;0;1.6504207849503;0.8799996972084;0.87999963760376;0.87999963760376;0.87999963760376;0;0;1;"0,0,0,0,0,0,100,0,0,0";vprintf;;
778;libc.so.6;__libc_malloc;;0.42198270559311;0.22499999403954;0.22499997913837;0.22499997913837;0.22499997913837;0;0;0.42198270559311;0.22499999403954;0.22499997913837;0.22499997913837;0.22499997913837;0;0;1;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
528;libc.so.6;_IO_sputbackc;;0.27194440364838;0.14499998092651;0.14499999582767;0.14499999582767;0.14499999582767;0;0;0.27194440364838;0.14499998092651;0.14499999582767;0.14499999582767;0.14499999582767;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_sputbackc;;
12;opt1.o;load_positions;opt1.c:152-174;0.26256701350212;0.13999998569489;0.14000000059605;0.14000000059605;0.14000000059605;0;0;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";load_positions;;
240;libc.so.6;random;;0.14066089689732;0.074999995529652;0.074999995529652;0.074999995529652;0.074999995529652;0;0;0.14066089689732;0.074999995529652;0.074999995529652;0.074999995529652;0.074999995529652;0;0;1;"0,0,0,0,0,0,0,0,0,100";random;;
11;opt1.o;load_values;stdio2.h:105-105,stdio2.h:112-112,opt1.c:76-122,opt1.c:128-147;0.12190610915422;0.064999990165234;0.064999997615814;0.064999997615814;0.064999997615814;0;0;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";load_values;;
500;libc.so.6;_IO_file_xsputn;;0.10315132886171;0.054999999701977;0.054999999701977;0.054999999701977;0.054999999701977;0;0;0.10315132886171;0.054999999701977;0.054999999701977;0.054999999701977;0.054999999701977;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_xsputn;;
351;libc.so.6;__isoc99_fscanf;;0.10315132886171;0.054999999701977;0.054999999701977;0.054999999701977;0.054999999701977;0;0;0.10315132886171;0.054999999701977;0.054999999701977;0.054999999701977;0.054999999701977;0;0;1;"0,0,0,0,0,0,100,0,0,0";__isoc99_fscanf;;
56;libc.so.6;.plt.sec@start;;0.093773931264877;0.049999997019768;0.049999997019768;0.049999997019768;0.049999997019768;0;0;0.093773931264877;0.049999997019768;0.049999997019768;0.049999997019768;0.049999997019768;0;0;1;"0,0,0,0,100,0,0,0,0,0";.plt.sec@start;;
